400
(-0.0543764,-0.0276412)
(-0.0146857,0.00243923)
(0.00368567,0.00217033)
(-0.00250862,-0.0743055)
(-0.00244588,-0.0389723)
(0.0526796,0.0219561)
(-0.0213386,-0.0218185)
(-0.0210757,-0.0452329)
(-0.0522018,-0.0278273)
(0.0478654,-0.00138376)
(-0.0361784,-0.0166059)
(0.0323748,0.015448)
(-0.0578853,-0.0288867)
(0.0472807,0.0401358)
(-0.00982598,-0.0162984)
(3.85214e-05,0.0429152)
(0.0161341,-0.0419178)
(0.0106601,-0.00920788)
(-0.000287225,-0.0458064)
(0.0541475,0.0197261)
(0.0293342,0.000567254)
(-0.00358618,-0.0274421)
(-0.0516225,-0.0332646)
(0.0320806,0.00827175)
(0.0424379,-0.00857533)
(0.0420162,-0.0305003)
(7.6626e-05,-0.00026856)
(0.0324895,0.0324987)
(-0.0309082,0.0112)
(0.0219906,-0.0135803)
(0.0465326,-0.000216953)
(0.00379718,-0.00212678)
(0.016882,0.00612706)
(0.0146059,0.0371583)
(-0.00463664,-0.0415737)
(0.0313824,-0.00673894)
(-0.0361779,0.0227996)
(-0.0116207,0.0426967)
(0.00681016,-0.0279008)
(0.0100099,-0.0173752)
(-0.00696675,0.0200216)
(0.00643146,-0.00173326)
(0.0427746,-0.0374172)
(-0.00843362,-0.00563686)
(0.0574066,-0.0333727)
(0.0207146,0.0166369)
(-0.030801,-0.0437288)
(0.0230006,0.0186851)
(0.0173123,-0.0109726)
(0.0105722,0.00997778)
(0.0292185,-0.0138607)
(-0.0292619,0.0164936)
(0.00131702,-0.0189806)
(-0.0283979,0.0314634)
(-0.0385171,-0.0170432)
(-0.0341785,0.0283351)
(-0.00957464,-0.0293517)
(-0.0119207,0.0126825)
(0.00723807,0.0328733)
(0.0190168,0.0655782)
(-0.0614201,0.001377)
(0.00145212,0.00632011)
(-0.0173849,0.00689363)
(0.0142015,0.047072)
(0.00636664,0.000724917)
(0.0222674,0.0617546)
(-0.0377048,-0.0265689)
(-0.0240794,0.0221895)
(-0.00745791,-0.0293327)
(-0.0466508,-0.0130717)
(0.0048209,-0.0127245)
(0.0234689,0.0215836)
(0.032411,0.044538)
(0.0393722,0.0170925)
(-0.0285899,0.0306129)
(-0.0245547,-0.0362223)
(0.0118552,-0.0189465)
(0.0170551,0.0493556)
(0.000695893,-0.0189595)
(-0.0235198,0.0228694)
(-0.0143724,-0.024788)
(-0.00395422,0.00636092)
(-0.0249797,-0.048043)
(-0.0262884,0.0116091)
(0.000306653,0.0134089)
(0.0121823,-0.00340095)
(-0.0233138,0.0268912)
(0.00245705,-0.00850343)
(-0.0102315,-0.052094)
(0.0542771,-0.0195701)
(-0.0177182,-0.0290922)
(0.0342135,-0.0236786)
(-0.0165373,0.0125986)
(0.0424026,0.0249109)
(0.0059122,-0.0242323)
(0.0357515,0.0265992)
(0.0171225,0.000108603)
(-0.0130403,-0.0272191)
(-0.00839951,-0.0164382)
(0.0414356,0.0110065)
(0.002663,-0.00038323)
(0.0507173,-0.0219474)
(-0.00523175,-0.0131089)
(-0.0177711,-0.00428694)
(-0.0291042,0.00538174)
(0.035179,0.0381365)
(0.00752092,-0.0134029)
(0.0426982,0.00564639)
(-0.0304898,-0.00327427)
(0.0123664,-0.0142365)
(-0.0401768,0.00729065)
