---------------------------
f_d = -5000
---------------------------
(-0.683719,-0.0995171)
(0.684448,0.0185976)
(0.72899,-0.96857)
(-0.24203,-0.152563)
(0.678581,0.502662)
(0.210734,-0.324401)
(-0.000171307,-0.361852)
(0.00631869,-0.227443)
(0.20662,-0.239903)
(-0.489639,-1.42748)
(-0.570496,-0.401753)
(-0.727515,0.163248)
(-1.11171,0.418214)
(0.0226734,-0.699659)
(0.192934,-0.420772)
(-0.170031,-0.408471)
(-0.434818,0.775073)
(-0.443771,-0.733143)
(0.928369,0.8931)
(-1.14518,0.050797)
(0.0672359,0.316647)
(-0.233851,0.280709)
(0.492662,-0.358415)
(-0.27665,-0.766063)
(-0.50692,-1.42321)
(0.621603,0.334727)
(0.0343752,-0.61396)
(0.228203,0.461852)
(-0.339673,0.47391)
(-0.353776,-0.202255)
(0.224499,0.598312)
(-0.50877,0.989462)
(0.544371,-0.118512)
(-0.0556445,0.250203)
(-1.86289,-0.632228)
(0.671713,-0.441467)
(-0.412465,0.312595)
(-0.64206,-0.459057)
(0.694495,0.304065)
(0.571762,0.329056)
(-0.206963,-0.113679)
(0.238304,-0.191685)
(-0.661065,0.710914)
(-0.359561,-0.442417)
(0.493329,0.0480897)
(-0.0676669,0.296955)
(-0.2656,-0.483899)
(-0.296544,0.382885)
(-0.633005,0.251249)
(-0.0632094,0.349009)
(0.0413213,-1.46022)
(0.0224665,0.38332)
(0.172414,0.229096)
(0.262746,-0.0670234)
(-0.37152,-0.380058)
(0.542831,0.439968)
(-0.204014,-0.528496)
(-0.402356,-0.275942)
(-0.655275,-0.0423001)
(-0.175984,-0.269348)
(-0.874678,0.368934)
(0.298199,1.22706)
(0.680858,-0.923463)
(-0.927025,0.500902)
(-0.386871,0.0357233)
(-0.980791,0.129138)
(-0.107929,1.51651)
(0.579126,0.263762)
(0.128282,0.0141875)
(0.415962,-0.190082)
(-0.0550406,-0.198273)
(-0.344283,0.244714)
(0.549345,0.317507)
(0.119435,0.541238)
(-0.592056,-0.792887)
(-0.501449,-0.64035)
(0.833978,-0.34222)
(-0.0885894,1.09798)
(-0.382059,-0.725938)
(0.148801,0.510798)
(-0.375647,1.32205)
(0.231578,0.812682)
(-1.2208,0.367886)
(0.303937,0.555345)
(0.152297,-0.30623)
(-0.135331,0.804972)
(-0.084325,0.36989)
(0.40354,0.271718)
(-0.0941794,0.258931)
(0.330926,0.183186)
(-0.424199,-1.16803)
(-0.11297,-0.324407)
(-0.471438,-0.440275)
(0.763172,0.556489)
(0.382718,0.190785)
(1.08386,0.180864)
(0.512466,-0.545018)
(0.128109,0.491978)
(-0.287704,-0.255434)
(0.268072,-0.723043)
(0.348357,-0.47538)
(-0.374289,-0.0352258)
(0.0023262,-0.272732)
(-0.336412,0.242024)
(0.2736,-0.0644574)
(0.412169,0.086091)
(0.186474,0.111446)
(-0.263444,0.396695)
(0.561451,-0.132999)
(-0.193542,0.233523)
(0.486073,0.452873)
(-0.942258,-0.784804)
(-0.350311,-0.303604)
(-0.287633,-0.226172)
(-0.186165,0.643074)
(-0.0445308,-0.577938)
(-0.939559,0.492888)
(-0.456044,-0.873188)
(-0.709917,-0.507473)
(0.124067,-0.434488)
