---------------------------
f_d = -5000
---------------------------
(-0.550035,-0.216855)
(-0.588707,0.266117)
(1.11746,-0.24927)
(0.175606,-0.517051)
(1.24726,0.540951)
(-0.512095,-0.184024)
(0.197976,0.555537)
(-1.08082,-0.205749)
(0.928965,0.141606)
(-0.605436,-0.295884)
(-0.608598,0.597416)
(-0.126987,-0.416109)
(-0.0520027,0.443707)
(-0.327307,-0.0821289)
(-0.0984417,0.56763)
(0.825781,0.409046)
(-0.227318,0.0883085)
(-0.0947891,-0.484932)
(0.44104,0.0938641)
(-0.0468992,-0.206356)
(0.28535,0.0626327)
(-0.0267016,-0.510267)
(0.447201,0.272857)
(-0.153348,-0.791617)
(-0.728852,0.646271)
(-0.536376,-0.784717)
(0.0490561,0.123571)
(-0.489895,-0.914606)
(0.748916,0.0760514)
(0.753487,-0.863785)
(-1.02171,1.30758)
(0.198417,0.0474164)
(-1.18448,0.539905)
(-0.235548,0.244773)
(-0.374255,-0.289473)
(-0.563194,-1.47136)
(-0.157994,0.161959)
(0.514838,-0.562985)
(0.706372,0.377267)
(0.785782,-0.186209)
(0.1763,0.572417)
(0.090465,-1.20219)
(0.735551,-0.00487211)
(1.03343,0.0139541)
(-0.628734,0.377919)
(-0.128426,0.183563)
(-1.04399,-0.122652)
(-0.0566281,-0.120393)
(-0.362913,0.442214)
(0.449491,0.125486)
(-0.386632,0.290116)
(1.16207,-0.807902)
(-0.153053,-0.217957)
(0.549906,-0.144788)
(0.0612475,-0.11965)
(0.396181,0.141431)
(-0.575226,-0.830844)
(-0.0411911,0.94114)
(-0.161172,-0.613082)
(0.845953,0.475715)
(-0.423095,-0.79168)
(-0.242212,0.462897)
(-0.118486,-0.222837)
(-0.772454,0.094611)
(-0.144784,-0.571557)
(-0.174873,0.610119)
(-0.249204,-0.693674)
(-0.0235137,-0.297383)
(0.502964,-0.506987)
(0.52116,0.221083)
(-0.5753,-1.18014)
(-1.01079,0.972995)
(-0.200929,-0.631913)
(-0.197371,0.605747)
(-0.294852,-0.281806)
(0.348627,-0.453255)
(-0.544101,-0.592979)
(0.502436,0.329242)
(-0.00128794,-0.0158977)
(-0.831442,0.752495)
(0.147275,-0.462211)
(-1.20169,-0.103263)
(0.248334,-1.14834)
(-0.840228,0.579226)
(0.408356,-0.202998)
(-0.919936,-0.265421)
(0.761718,-0.734246)
(-0.243077,0.852206)
(0.59034,-0.559987)
(0.740611,-0.498224)
(0.548069,-0.340412)
(0.280075,-0.0670934)
(-0.11156,-1.35598)
(0.215056,1.41169)
(0.462161,-0.59343)
(-0.221939,1.40942)
(0.562258,-0.509746)
(-0.2858,1.23836)
(-1.06196,-0.752044)
(0.135651,0.823779)
(0.134379,-0.624237)
(-0.520072,0.404121)
(-0.23986,-0.143602)
(-0.292665,0.17577)
(-0.24399,-0.187569)
(-1.04588,-0.106813)
(0.81457,-0.944477)
(-0.633695,-0.346272)
(1.59197,-1.08243)
(-0.626291,0.970247)
(0.366976,-0.432316)
(-0.590601,0.559392)
(-0.568377,-0.504265)
(0.127889,0.433303)
(-0.228333,-0.410509)
(-0.140508,0.178166)
(0.469244,-0.6061)
(-1.6981,0.0481165)
(0.484876,0.609531)
(0.00398304,-0.691029)
(1.76924,-0.12331)
(-0.595293,-0.932386)
(1.3112,-0.0389857)
(-0.122146,-0.365875)
(0.537597,0.124386)
(0.874742,-0.483809)
(0.456815,0.245253)
(-0.614074,-0.37378)
(0.310046,0.366188)
(-0.882272,-0.730611)
(0.100693,1.19023)
(-0.251631,-1.04379)
(0.797073,0.578356)
(0.96101,-1.26677)
(0.105857,0.46216)
(0.440259,-0.0656377)
(-1.13286,0.477297)
(1.08251,-0.417595)
(-0.478228,0.284022)
(0.195491,-0.308824)
(-0.147449,0.515789)
(0.0013801,0.105353)
(-0.902883,1.86668)
(0.144497,-0.756218)
(0.0898332,0.127618)
(0.751467,-0.667224)
(-0.8437,0.0810357)
(0.799348,-0.358145)
(-1.02122,0.697389)
(0.473581,0.166312)
(-0.829472,-0.00140246)
(-0.509511,-0.10468)
(-0.990792,-0.361371)
(-0.356851,-1.05275)
(-0.489718,0.152276)
(0.604995,-0.214473)
(-0.222455,-0.403741)
(2.02655,-0.943005)
(-0.219333,0.228703)
(0.69038,0.0405884)
(0.0327479,0.685911)
(0.693513,0.903446)
(-1.14029,0.0778858)
(-0.0834458,0.610164)
(-0.070504,-0.0195892)
(-0.329802,1.01544)
(0.295244,-0.0777947)
(-0.327837,0.197376)
(0.0395759,-0.793855)
(-0.387499,0.462392)
(0.257853,0.0720484)
(1.05738,0.563272)
(0.355115,-0.630258)
(0.372518,0.358546)
(-0.93252,-0.563887)
(-0.0798767,0.136447)
(-0.527294,0.353157)
(-0.0597804,0.805907)
(0.0203317,-0.938245)
