
ByteCode
____________________________________________________________________
| Offset | OpCode | ByteCode                                       |
|==================================================================|
| 0      | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5691              |
| 3      | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5448              |
| 6      | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5255              |
| 9      | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5378              |
| 12     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5419              |
| 15     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5457              |
| 18     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5274              |
| 21     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5429              |
| 24     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5473              |
| 27     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5569              |
| 30     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5576              |
| 33     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5688              |
| 36     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5649              |
| 39     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5279              |
| 42     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5484              |
| 45     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5489              |
| 48     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5534              |
| 51     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5591              |
| 54     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5621              |
| 57     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5475              |
| 60     | 0xE5   | LDC_STRING H #2                                |
| 63     | 0xD7   | INVOKENONVIRTUAL_QUICK AMTI #5485              |
| 66     | 0xA7   | GOTO 0                                         |
| 69     | 0x00   | NOP                                            |
| 70     | 0x00   | NOP                                            |
| 71     | 0x00   | NOP                                            |
| 72     | 0x00   | NOP                                            |
| 73     | 0x00   | NOP                                            |
| 74     | 0x00   | NOP                                            |
| 75     | 0x00   | NOP                                            |
| 76     | 0x00   | NOP                                            |
| 77     | 0x00   | NOP                                            |
| 78     | 0x00   | NOP                                            |
| 79     | 0x00   | NOP                                            |
| 80     | 0x00   | NOP                                            |
| 81     | 0x00   | NOP                                            |
| 82     | 0x00   | NOP                                            |
| 83     | 0x00   | NOP                                            |
| 84     | 0x00   | NOP                                            |
| 85     | 0x00   | NOP                                            |
| 86     | 0x00   | NOP                                            |
| 87     | 0x00   | NOP                                            |
| 88     | 0x00   | NOP                                            |
| 89     | 0x00   | NOP                                            |
| 90     | 0x00   | NOP                                            |
| 91     | 0x00   | NOP                                            |
| 92     | 0x00   | NOP                                            |
| 93     | 0x00   | NOP                                            |
| 94     | 0x00   | NOP                                            |
| 95     | 0x00   | NOP                                            |
| 96     | 0x00   | NOP                                            |
| 97     | 0x00   | NOP                                            |
| 98     | 0x00   | NOP                                            |
| 99     | 0x00   | NOP                                            |
| 100    | 0x00   | NOP                                            |
| 101    | 0x00   | NOP                                            |
| 102    | 0x00   | NOP                                            |
| 103    | 0x00   | NOP                                            |
| 104    | 0x00   | NOP                                            |
| 105    | 0x00   | NOP                                            |
| 106    | 0x00   | NOP                                            |
| 107    | 0x00   | NOP                                            |
| 108    | 0x00   | NOP                                            |
| 109    | 0x00   | NOP                                            |
| 110    | 0x00   | NOP                                            |
| 111    | 0x00   | NOP                                            |
| 112    | 0x00   | NOP                                            |
| 113    | 0x00   | NOP                                            |
| 114    | 0x00   | NOP                                            |
| 115    | 0x00   | NOP                                            |
| 116    | 0x00   | NOP                                            |
| 117    | 0x00   | NOP                                            |
| 118    | 0x00   | NOP                                            |
| 119    | 0x00   | NOP                                            |
| 120    | 0x00   | NOP                                            |
| 121    | 0x00   | NOP                                            |
| 122    | 0x00   | NOP                                            |
| 123    | 0x00   | NOP                                            |
| 124    | 0x00   | NOP                                            |
| 125    | 0x00   | NOP                                            |
| 126    | 0x00   | NOP                                            |
| 127    | 0x00   | NOP                                            |
| 128    | 0x00   | NOP                                            |
| 129    | 0x00   | NOP                                            |
| 130    | 0x00   | NOP                                            |
| 131    | 0x00   | NOP                                            |
| 132    | 0x00   | NOP                                            |
| 133    | 0x00   | NOP                                            |
| 134    | 0x00   | NOP                                            |
| 135    | 0x00   | NOP                                            |
| 136    | 0x00   | NOP                                            |
| 137    | 0x00   | NOP                                            |
| 138    | 0x00   | NOP                                            |
| 139    | 0x00   | NOP                                            |
| 140    | 0x00   | NOP                                            |
| 141    | 0x00   | NOP                                            |
| 142    | 0x00   | NOP                                            |
| 143    | 0x00   | NOP                                            |
| 144    | 0x00   | NOP                                            |
| 145    | 0x00   | NOP                                            |
| 146    | 0x00   | NOP                                            |
| 147    | 0x00   | NOP                                            |
| 148    | 0x00   | NOP                                            |
| 149    | 0x00   | NOP                                            |
| 150    | 0x00   | NOP                                            |
| 151    | 0x00   | NOP                                            |
| 152    | 0x00   | NOP                                            |
| 153    | 0x00   | NOP                                            |
| 154    | 0x00   | NOP                                            |
| 155    | 0x00   | NOP                                            |
| 156    | 0x00   | NOP                                            |
| 157    | 0x00   | NOP                                            |
| 158    | 0x00   | NOP                                            |
| 159    | 0x00   | NOP                                            |
| 160    | 0x00   | NOP                                            |
| 161    | 0x00   | NOP                                            |
| 162    | 0x00   | NOP                                            |
| 163    | 0x00   | NOP                                            |
| 164    | 0x00   | NOP                                            |
| 165    | 0x00   | NOP                                            |
| 166    | 0x00   | NOP                                            |
| 167    | 0x00   | NOP                                            |
| 168    | 0x00   | NOP                                            |
| 169    | 0x00   | NOP                                            |
| 170    | 0x00   | NOP                                            |
| 171    | 0x00   | NOP                                            |
| 172    | 0x00   | NOP                                            |
| 173    | 0x00   | NOP                                            |
| 174    | 0x00   | NOP                                            |
| 175    | 0x00   | NOP                                            |
| 176    | 0x00   | NOP                                            |
| 177    | 0x00   | NOP                                            |
| 178    | 0x00   | NOP                                            |
| 179    | 0x00   | NOP                                            |
| 180    | 0x00   | NOP                                            |
| 181    | 0x00   | NOP                                            |
| 182    | 0x00   | NOP                                            |
| 183    | 0x00   | NOP                                            |
| 184    | 0x00   | NOP                                            |
| 185    | 0x00   | NOP                                            |
| 186    | 0x00   | NOP                                            |
| 187    | 0x00   | NOP                                            |
| 188    | 0x00   | NOP                                            |
| 189    | 0x00   | NOP                                            |
| 190    | 0x00   | NOP                                            |
| 191    | 0x00   | NOP                                            |
| 192    | 0x00   | NOP                                            |
| 193    | 0x00   | NOP                                            |
| 194    | 0x00   | NOP                                            |
| 195    | 0x00   | NOP                                            |
| 196    | 0x00   | NOP                                            |
| 197    | 0x00   | NOP                                            |
| 198    | 0x00   | NOP                                            |
| 199    | 0x00   | NOP                                            |
| 200    | 0x00   | NOP                                            |
| 201    | 0x00   | NOP                                            |
| 202    | 0x00   | NOP                                            |
| 203    | 0x00   | NOP                                            |
| 204    | 0x00   | NOP                                            |
| 205    | 0x00   | NOP                                            |
| 206    | 0x00   | NOP                                            |
| 207    | 0x00   | NOP                                            |
| 208    | 0x00   | NOP                                            |
| 209    | 0x00   | NOP                                            |
| 210    | 0x00   | NOP                                            |
| 211    | 0x00   | NOP                                            |
| 212    | 0x00   | NOP                                            |
| 213    | 0x00   | NOP                                            |
| 214    | 0x00   | NOP                                            |
| 215    | 0x00   | NOP                                            |
| 216    | 0x00   | NOP                                            |
| 217    | 0x00   | NOP                                            |
| 218    | 0x00   | NOP                                            |
| 219    | 0x00   | NOP                                            |
| 220    | 0x00   | NOP                                            |
| 221    | 0x00   | NOP                                            |
| 222    | 0x00   | NOP                                            |
| 223    | 0x00   | NOP                                            |
| 224    | 0x00   | NOP                                            |
| 225    | 0x00   | NOP                                            |
| 226    | 0x00   | NOP                                            |
| 227    | 0x00   | NOP                                            |
| 228    | 0x00   | NOP                                            |
| 229    | 0x00   | NOP                                            |
| 230    | 0x00   | NOP                                            |
| 231    | 0x00   | NOP                                            |
| 232    | 0x00   | NOP                                            |
| 233    | 0x00   | NOP                                            |
| 234    | 0x00   | NOP                                            |
| 235    | 0x00   | NOP                                            |
| 236    | 0x00   | NOP                                            |
| 237    | 0x00   | NOP                                            |
| 238    | 0x00   | NOP                                            |
| 239    | 0x00   | NOP                                            |
| 240    | 0x00   | NOP                                            |
| 241    | 0x00   | NOP                                            |
| 242    | 0x00   | NOP                                            |
| 243    | 0x00   | NOP                                            |
| 244    | 0x00   | NOP                                            |
| 245    | 0x00   | NOP                                            |
| 246    | 0x00   | NOP                                            |
| 247    | 0x00   | NOP                                            |
| 248    | 0x00   | NOP                                            |
| 249    | 0x00   | NOP                                            |
| 250    | 0x00   | NOP                                            |
| 251    | 0x00   | NOP                                            |
| 252    | 0x00   | NOP                                            |
| 253    | 0x00   | NOP                                            |
| 254    | 0x00   | NOP                                            |
| 255    | 0x00   | NOP                                            |
| 256    | 0x00   | NOP                                            |
| 257    | 0x00   | NOP                                            |
| 258    | 0x00   | NOP                                            |
| 259    | 0x00   | NOP                                            |
| 260    | 0x00   | NOP                                            |
| 261    | 0x00   | NOP                                            |
| 262    | 0x00   | NOP                                            |
| 263    | 0x00   | NOP                                            |
| 264    | 0x00   | NOP                                            |
| 265    | 0x00   | NOP                                            |
| 266    | 0x00   | NOP                                            |
| 267    | 0x00   | NOP                                            |
| 268    | 0x00   | NOP                                            |
| 269    | 0x00   | NOP                                            |
| 270    | 0x00   | NOP                                            |
| 271    | 0x00   | NOP                                            |
| 272    | 0x00   | NOP                                            |
| 273    | 0x00   | NOP                                            |
| 274    | 0x00   | NOP                                            |
| 275    | 0x00   | NOP                                            |
| 276    | 0x00   | NOP                                            |
| 277    | 0x00   | NOP                                            |
| 278    | 0x00   | NOP                                            |
| 279    | 0x00   | NOP                                            |
| 280    | 0x00   | NOP                                            |
| 281    | 0x00   | NOP                                            |
| 282    | 0x00   | NOP                                            |
| 283    | 0x00   | NOP                                            |
| 284    | 0x00   | NOP                                            |
| 285    | 0x00   | NOP                                            |
| 286    | 0x00   | NOP                                            |
| 287    | 0x00   | NOP                                            |
| 288    | 0x00   | NOP                                            |
| 289    | 0x00   | NOP                                            |
| 290    | 0x00   | NOP                                            |
| 291    | 0x00   | NOP                                            |
| 292    | 0x00   | NOP                                            |
| 293    | 0x00   | NOP                                            |
| 294    | 0x00   | NOP                                            |
| 295    | 0x00   | NOP                                            |
| 296    | 0x00   | NOP                                            |
| 297    | 0x00   | NOP                                            |
| 298    | 0x00   | NOP                                            |
| 299    | 0x00   | NOP                                            |
| 300    | 0x00   | NOP                                            |
| 301    | 0x00   | NOP                                            |
| 302    | 0x00   | NOP                                            |
| 303    | 0x00   | NOP                                            |
| 304    | 0x00   | NOP                                            |
| 305    | 0x00   | NOP                                            |
| 306    | 0x00   | NOP                                            |
| 307    | 0x00   | NOP                                            |
| 308    | 0x00   | NOP                                            |
| 309    | 0x00   | NOP                                            |
| 310    | 0x00   | NOP                                            |
| 311    | 0x00   | NOP                                            |
| 312    | 0x00   | NOP                                            |
| 313    | 0x00   | NOP                                            |
| 314    | 0x00   | NOP                                            |
| 315    | 0x00   | NOP                                            |
| 316    | 0x00   | NOP                                            |
| 317    | 0x00   | NOP                                            |
| 318    | 0x00   | NOP                                            |
| 319    | 0x00   | NOP                                            |
| 320    | 0x00   | NOP                                            |
| 321    | 0x00   | NOP                                            |
| 322    | 0x00   | NOP                                            |
| 323    | 0x00   | NOP                                            |
| 324    | 0x00   | NOP                                            |
| 325    | 0x00   | NOP                                            |
| 326    | 0x00   | NOP                                            |
| 327    | 0x00   | NOP                                            |
| 328    | 0x00   | NOP                                            |
| 329    | 0x00   | NOP                                            |
| 330    | 0x00   | NOP                                            |
| 331    | 0x00   | NOP                                            |
| 332    | 0x00   | NOP                                            |
| 333    | 0x00   | NOP                                            |
| 334    | 0x00   | NOP                                            |
| 335    | 0x00   | NOP                                            |
| 336    | 0x00   | NOP                                            |
| 337    | 0x00   | NOP                                            |
| 338    | 0x00   | NOP                                            |
| 339    | 0x00   | NOP                                            |
| 340    | 0x00   | NOP                                            |
| 341    | 0x00   | NOP                                            |
| 342    | 0x00   | NOP                                            |
| 343    | 0x00   | NOP                                            |
| 344    | 0x00   | NOP                                            |
| 345    | 0x00   | NOP                                            |
| 346    | 0x00   | NOP                                            |
| 347    | 0x00   | NOP                                            |
| 348    | 0x00   | NOP                                            |
| 349    | 0x00   | NOP                                            |
| 350    | 0x00   | NOP                                            |
| 351    | 0x00   | NOP                                            |
| 352    | 0x00   | NOP                                            |
| 353    | 0x00   | NOP                                            |
| 354    | 0x00   | NOP                                            |
| 355    | 0x00   | NOP                                            |
| 356    | 0x00   | NOP                                            |
| 357    | 0x00   | NOP                                            |
| 358    | 0x00   | NOP                                            |
| 359    | 0x00   | NOP                                            |
| 360    | 0x00   | NOP                                            |
| 361    | 0x00   | NOP                                            |
| 362    | 0x00   | NOP                                            |
| 363    | 0x00   | NOP                                            |
| 364    | 0x00   | NOP                                            |
| 365    | 0x00   | NOP                                            |
| 366    | 0x00   | NOP                                            |
| 367    | 0x00   | NOP                                            |
| 368    | 0x00   | NOP                                            |
| 369    | 0x00   | NOP                                            |
| 370    | 0x00   | NOP                                            |
| 371    | 0x00   | NOP                                            |
| 372    | 0x00   | NOP                                            |
| 373    | 0x00   | NOP                                            |
| 374    | 0x00   | NOP                                            |
| 375    | 0x00   | NOP                                            |
| 376    | 0x00   | NOP                                            |
| 377    | 0x00   | NOP                                            |
| 378    | 0x00   | NOP                                            |
| 379    | 0x00   | NOP                                            |
| 380    | 0x00   | NOP                                            |
| 381    | 0x00   | NOP                                            |
| 382    | 0x00   | NOP                                            |
| 383    | 0x00   | NOP                                            |
| 384    | 0x00   | NOP                                            |
| 385    | 0x00   | NOP                                            |
| 386    | 0x00   | NOP                                            |
| 387    | 0x00   | NOP                                            |
| 388    | 0x00   | NOP                                            |
| 389    | 0x00   | NOP                                            |
| 390    | 0x00   | NOP                                            |
| 391    | 0x00   | NOP                                            |
| 392    | 0x00   | NOP                                            |
| 393    | 0x00   | NOP                                            |
| 394    | 0x00   | NOP                                            |
| 395    | 0x00   | NOP                                            |
| 396    | 0x00   | NOP                                            |
| 397    | 0x00   | NOP                                            |
| 398    | 0x00   | NOP                                            |
| 399    | 0x00   | NOP                                            |
