_____________________________________________________________
| Handle| Monitor ID| Flags           | CTI  | Size | Address|
|============================================================|
| #0    | 0         | 0000000000000001| 65535| 0    | 0      |
| #1    | 0         | 1000000000000001| 0    | 764  | 0      |
| #2    | 0         | 0000000000000001| 198  | 0    | 3056   |
| #3    | 0         | 0000000000000001| 140  | 4    | 3056   |
| #4    | 0         | 0000000000000001| 140  | 4    | 3072   |
| #5    | 0         | 0000000000000001| 140  | 4    | 3120   |
| #6    | 0         | 0000000000000001| 140  | 4    | 3220   |
| #7    | 0         | 0000000000000001| 140  | 4    | 3268   |
| #8    | 0         | 0000000000000001| 140  | 4    | 3376   |
| #9    | 0         | 0000000000000001| 140  | 4    | 3476   |
| #10   | 0         | 0000000000000001| 140  | 4    | 3508   |
| #11   | 0         | 0000000000000001| 140  | 4    | 3644   |
| #12   | 0         | 0000000000000001| 140  | 4    | 3676   |
| #13   | 0         | 0000000000000001| 140  | 4    | 3704   |
| #14   | 0         | 0000000000000001| 140  | 4    | 3736   |
| #15   | 0         | 0000000000000001| 140  | 4    | 3780   |
| #16   | 0         | 0000000000000001| 140  | 4    | 3824   |
| #17   | 0         | 0000000000000001| 140  | 4    | 3968   |
| #18   | 0         | 0000000000000001| 140  | 4    | 4032   |
| #19   | 0         | 0000000000000001| 140  | 4    | 4056   |
| #20   | 0         | 0000000000000001| 140  | 4    | 4080   |
| #21   | 0         | 0000000000000001| 140  | 4    | 4116   |
| #22   | 0         | 0000000000000001| 140  | 4    | 4152   |
| #23   | 0         | 0000000000000001| 140  | 4    | 4188   |
| #24   | 0         | 0000000000000001| 140  | 4    | 4224   |
| #25   | 0         | 0000000000000001| 140  | 4    | 4260   |
| #26   | 0         | 0000000000000001| 140  | 4    | 4296   |
| #27   | 0         | 0000000000000001| 140  | 4    | 4332   |
| #28   | 0         | 0000000000000001| 140  | 4    | 4368   |
| #29   | 0         | 0000000000000001| 140  | 4    | 4404   |
| #30   | 0         | 0000000000000001| 140  | 4    | 4440   |
| #31   | 0         | 0000000000000001| 140  | 4    | 4476   |
| #32   | 0         | 0000000000000001| 140  | 4    | 4516   |
| #33   | 0         | 0000000000000001| 140  | 4    | 4572   |
| #34   | 0         | 0000000000000001| 140  | 4    | 4632   |
| #35   | 0         | 0000000000000001| 140  | 4    | 4664   |
| #36   | 0         | 0000000000000001| 140  | 4    | 4688   |
| #37   | 0         | 0000000000000001| 140  | 4    | 4708   |
| #38   | 0         | 0000000000000001| 140  | 4    | 4732   |
| #39   | 0         | 0000000000000001| 140  | 4    | 4752   |
| #40   | 0         | 0000000000000001| 140  | 4    | 4772   |
| #41   | 0         | 0000000000000001| 140  | 4    | 4792   |
| #42   | 0         | 0000000000000001| 140  | 4    | 4812   |
| #43   | 0         | 0000000000000001| 140  | 4    | 4832   |
| #44   | 0         | 0000000000000001| 140  | 4    | 4852   |
| #45   | 0         | 0000000000000001| 140  | 4    | 4940   |
| #46   | 0         | 0000000000000001| 140  | 4    | 5012   |
| #47   | 0         | 0000000000000001| 140  | 4    | 5076   |
| #48   | 0         | 0000000000000001| 140  | 4    | 5216   |
| #49   | 0         | 0000000000000001| 140  | 4    | 5288   |
| #50   | 0         | 0000000000000001| 140  | 4    | 5356   |
| #51   | 0         | 0000000000000001| 140  | 4    | 5388   |
| #52   | 0         | 0000000000000001| 140  | 4    | 5508   |
| #53   | 0         | 0000000000000001| 140  | 4    | 5536   |
| #54   | 0         | 0000000000000001| 140  | 4    | 5564   |
| #55   | 0         | 0000000000000001| 140  | 4    | 5728   |
| #56   | 0         | 0000000000000001| 140  | 4    | 5872   |
| #57   | 0         | 0000000000000001| 140  | 4    | 6068   |
| #58   | 0         | 0000000000000001| 140  | 4    | 6140   |
| #59   | 0         | 0000000000000001| 140  | 4    | 6160   |
| #60   | 0         | 0000000000000001| 140  | 4    | 6332   |
| #61   | 0         | 0000000000000001| 140  | 4    | 6364   |
| #62   | 0         | 0000000000000001| 140  | 4    | 6400   |
